config,phi,T2x,THs,THd,th,eheat,aOHC,Lthx,lgla0,Ggla1,Ggla3,ggla,lgis0,Lgis1,Lgis3,Lais_smb,lais0,aais,k_toc,vgx,ggx,To,bdic,gdic,npp0,vfire,vharv,vmort,vstab,vrh1,vrh23,apass,bnpp,anpp,gnpp,bfire,gfire,brh,grh,ka,ga,k_tth,Cfr0,CO2pi,Lgla,Lais,tgla,tgis,tais,adic,aoc_1,aoc_2,aoc_3,aoc_4,aoc_5,toc_1,toc_2,toc_3,toc_4,toc_5,vrh3,aLST,grt1,grt2,krt,amin,vthaw,vfroz,ath_1,ath_2,ath_3,tth_1,tth_2,tth_3,aCO2,k_pH,T2x0
0,5.2139077,2.420391,7.7513075,78.71282,0.6604389,0.9366467,0.9288263,2.0182726,0.23918766,0.37081978,0.021598808,0.04715494,0.32843405,38.424664,4.5644403,0.63122445,-0.16415626,0.0047077113,0.76723677,0.12225225,-0.016347036,17.638102,0.9932434,0.041659568,41.485058,0.007415737,0.005290561,0.116327494,0.12938486,0.309841,0.03056297,0.5895928,0.7263427,0.13437258,-0.025349008,-0.017167963,0.08320416,0.84473646,0.020876786,0.6045541,0.092490934,4.1595044,418.39468,275.40002,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
1,5.8399525,4.4744263,6.324523,27.780691,0.89633936,1.4510655,0.9070938,2.2009115,0.05195014,0.369326,0.017982472,0.05026186,0.33425182,41.765602,4.5910597,0.48380634,-0.123291574,0.0039012036,1.2961614,0.211998,-0.022557288,18.201319,0.8324784,0.030616868,46.257336,0.002628802,0.0005705917,0.11689622,0.15209897,0.18480186,0.016918464,0.89380157,0.8596265,0.12128415,-0.027962772,0.07273281,0.018308008,1.7595737,0.036743272,1.9098698,0.09212896,0.08532075,522.02216,275.30307,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
2,5.7090416,2.9485583,7.281035,81.213165,0.6365724,1.933493,0.92229706,1.8774165,0.13619632,0.18451367,0.02379809,0.12268761,0.08449786,70.680824,3.333788,0.49306467,0.17510769,0.0040481137,1.0070113,0.13997446,0.003341896,17.671589,0.95187086,0.02483959,45.77929,0.0069159525,0.004584077,0.10930917,0.015622163,0.20320953,0.023492595,0.11152306,0.5082637,0.13568622,-0.056482617,-0.15435134,0.066994995,0.44742948,0.11107786,4.5900197,0.091843665,0.23406267,632.8306,281.68152,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
3,4.927826,3.0987995,6.868695,216.93878,0.8059129,1.0790626,0.91460353,1.974243,0.60642433,0.4144626,0.018719498,0.087827116,0.37107953,60.143894,6.7645807,0.61646056,-0.0740925,-0.0008259504,0.78063387,0.17544998,0.009709596,17.89762,1.1355902,0.08216794,50.367474,0.010874338,0.0049324585,0.113905884,0.08888948,0.5011942,0.023660589,0.7907773,0.934653,0.026266959,-0.0101973545,0.09793496,0.21083426,1.2125728,0.10313639,6.82424,0.12785254,0.32005143,519.88873,275.66833,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
4,5.0397663,1.4914567,8.151468,270.2272,0.5194849,1.0208029,0.8995461,1.7561913,-0.013242625,0.744102,0.013960381,0.07334682,0.208376,35.112103,6.2802196,0.41762003,0.083350606,-0.0020011337,1.1793333,0.14996842,0.036545113,18.25048,0.8913193,0.020138323,50.991196,0.0044995425,0.0029844472,0.12449229,0.14347391,0.0978503,0.02302528,0.7485849,0.44516093,0.31377846,0.019406842,0.038048323,-0.017142754,0.9030486,0.06764982,4.7901077,0.14171702,0.26644266,499.0004,283.80905,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
5,4.724526,4.6034427,9.243821,65.93089,0.5149429,1.0607688,0.8827695,1.4769019,0.61558545,0.63159764,0.032966748,0.0406908,0.373964,129.9541,5.172608,0.3429372,-0.052255284,0.0007824523,1.02468,0.24740987,0.0137753,18.284689,0.82606596,0.021795971,39.337677,0.0059824316,0.0014274537,0.11902139,0.12090883,0.8043289,0.019832795,0.7057735,0.44048437,3.4999185,-0.061408747,0.0095391255,0.17801335,2.6117926,0.00989854,1.2522501,0.073582895,5.118807,534.37524,281.3647,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
6,5.6377,4.797211,7.7136707,126.14305,0.6524524,1.359674,0.9088684,1.903581,0.47567213,0.23399845,0.010662421,0.03642839,0.44007376,89.14929,5.789421,0.3999203,-0.043600343,0.008129412,0.75697374,0.23545185,0.020000782,18.525127,0.8743637,0.051477082,46.07992,0.006873676,0.0010070206,0.09920328,0.38832843,1.1228516,0.05673157,0.8831436,1.1103824,0.14527045,0.0031279447,-0.050359633,-0.0009391112,1.0908183,0.08677866,1.5082853,0.12982738,0.6581559,784.0253,277.66913,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
7,4.667437,3.5448713,7.6215906,34.207077,0.97776836,2.0006022,0.91533,1.4764689,0.75178444,0.04313356,0.016225887,0.040296663,0.35591367,38.755154,3.653878,0.6983954,0.024056217,-0.0023749159,0.7187543,0.16028376,0.019433193,18.35031,0.9016753,0.0637833,54.717033,0.0031485823,0.0040346375,0.10674029,0.38950768,0.8961983,0.026013888,0.89340276,1.1973515,0.03905979,-0.00910633,-0.075851135,-0.033948608,0.9179457,0.068016596,0.26696876,0.23935227,0.547365,329.60797,276.79523,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
8,4.8068366,2.742445,9.327336,125.851234,0.5364848,1.4248058,0.9225781,2.091521,0.73110455,0.2943224,0.054550763,0.07766835,0.46748683,40.751762,7.904018,0.5234896,0.03870985,-0.001070723,1.0280685,0.25577313,0.0077730343,18.607935,0.7799472,0.05260495,50.627014,0.0075926534,0.0034962462,0.108045235,0.2080533,0.28271824,0.025568008,0.6419734,0.91766644,0.031141339,-0.054809988,-0.080519006,0.07248142,1.13252,0.027403543,1.1936448,0.10570324,0.98324996,658.8909,280.29315,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
9,4.948545,4.703175,9.1784935,58.202682,0.42902783,1.0554496,0.9251229,1.6786087,0.6577995,0.44802758,0.037863664,0.0937048,0.47581124,113.7569,4.3938065,0.62121075,-0.15543912,-0.0034311032,0.8897856,0.123826705,0.041529786,17.167572,0.80319726,0.07197199,45.253696,0.006850226,0.00040747345,0.103696726,0.11871744,0.14118767,0.021331247,0.47710982,1.051923,0.38378632,-0.017112272,0.1330131,0.08861675,0.4385462,0.052683152,1.9311063,0.12628528,0.6396336,626.1114,280.31683,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
